datetime,symbol,open,high,low,close,volume,open_interest
2026-03-02 09:00:00,RB0,3450.0,3456.3,3444.24,3450.0,140000.0,820000.0
2026-03-02 10:00:00,RB0,3451.85,3460.42,3445.48,3452.91,63907.0,820365.0
2026-03-02 11:00:00,RB0,3453.66,3463.3,3446.84,3455.69,77259.0,820725.0
2026-03-02 13:00:00,RB0,3455.42,3464.72,3448.4,3458.22,89525.0,821076.0
2026-03-02 14:00:00,RB0,3457.08,3467.78,3450.18,3460.39,100215.0,821414.0
2026-03-03 09:00:00,RB0,3458.62,3469.82,3452.11,3462.14,108903.0,821734.0
2026-03-03 10:00:00,RB0,3460.01,3470.11,3454.07,3463.41,115243.0,822033.0
2026-03-03 11:00:00,RB0,3461.21,3471.43,3455.01,3464.19,118981.0,822306.0
2026-03-03 13:00:00,RB0,3462.19,3472.21,3455.47,3464.48,119970.0,822549.0
2026-03-03 14:00:00,RB0,3462.91,3471.23,3455.92,3464.34,118169.0,822759.0
2026-03-04 09:00:00,RB0,3463.36,3470.89,3456.39,3463.81,113651.0,822934.0
2026-03-04 10:00:00,RB0,3463.49,3471.23,3456.31,3462.96,106595.0,823069.0
2026-03-04 11:00:00,RB0,3463.29,3470.36,3455.75,3461.86,97282.0,823162.0
2026-03-04 13:00:00,RB0,3462.74,3469.65,3454.55,3460.58,86085.0,823212.0
2026-03-04 14:00:00,RB0,3461.83,3469.56,3452.58,3459.17,73449.0,823215.0
2026-03-05 09:00:00,RB0,3460.56,3467.79,3450.72,3457.66,59878.0,823172.0
2026-03-05 10:00:00,RB0,3458.92,3465.64,3449.07,3456.08,54086.0,823080.0
2026-03-05 11:00:00,RB0,3456.94,3464.63,3447.64,3454.41,67888.0,822938.0
2026-03-05 13:00:00,RB0,3454.64,3462.02,3446.35,3452.63,80976.0,822747.0
2026-03-05 14:00:00,RB0,3452.06,3458.57,3444.87,3450.73,92830.0,822507.0
2026-03-06 09:00:00,RB0,3449.23,3456.85,3442.21,3448.66,102976.0,822217.0
2026-03-06 10:00:00,RB0,3446.22,3453.9,3439.35,3446.4,111010.0,821880.0
2026-03-06 11:00:00,RB0,3443.07,3450.24,3436.05,3443.93,116612.0,821496.0
2026-03-06 13:00:00,RB0,3439.87,3448.78,3433.0,3441.26,119558.0,821067.0
2026-03-06 14:00:00,RB0,3436.67,3446.01,3430.23,3438.4,119732.0,820594.0
2026-03-09 09:00:00,RB0,3433.55,3441.91,3427.7,3435.42,117125.0,820082.0
2026-03-09 10:00:00,RB0,3430.58,3439.77,3424.29,3432.37,111842.0,819531.0
2026-03-09 11:00:00,RB0,3427.82,3437.04,3421.05,3429.36,104094.0,818946.0
2026-03-09 13:00:00,RB0,3425.35,3433.18,3418.34,3426.49,94189.0,818329.0
2026-03-09 14:00:00,RB0,3423.22,3431.14,3416.28,3423.88,82522.0,817684.0
2026-03-10 09:00:00,RB0,3421.46,3429.36,3414.88,3421.64,69559.0,817015.0
2026-03-10 10:00:00,RB0,3420.13,3427.01,3413.84,3419.86,55816.0,816327.0
2026-03-10 11:00:00,RB0,3419.23,3426.33,3412.49,3418.61,58158.0,815622.0
2026-03-10 13:00:00,RB0,3418.79,3426.53,3411.3,3417.96,71808.0,814907.0
2026-03-10 14:00:00,RB0,3418.8,3425.86,3410.94,3417.91,84588.0,814184.0
2026-03-11 09:00:00,RB0,3419.24,3426.16,3411.46,3418.45,95989.0,813459.0
2026-03-11 10:00:00,RB0,3420.09,3427.82,3412.82,3419.52,105557.0,812735.0
2026-03-11 11:00:00,RB0,3421.31,3428.53,3414.87,3421.06,202910.0,812019.0
2026-03-11 13:00:00,RB0,3422.85,3429.69,3416.9,3422.96,117754.0,811313.0
2026-03-11 14:00:00,RB0,3424.66,3432.8,3418.14,3425.11,119898.0,810622.0
